area,bedrooms,bathrooms,stories,parking,age,city_tier,country,city,location,mainroad,furnishingstatus,price
2221,1,1,3,2,53,4,Nigeria,Ibadan,suburban,yes,unfurnished,73000
1791,5,4,4,3,52,1,Portugal,Lisbon,urban,no,semi-furnished,546000
2256,4,4,3,2,52,4,UAE,Ajman,urban,yes,furnished,269000
1127,3,2,1,0,3,4,India,Indore,prime,yes,semi-furnished,101900
1792,1,1,2,2,36,2,Japan,Osaka,suburban,no,unfurnished,466300
1663,2,1,2,0,32,1,UK,Cambridge,urban,yes,semi-furnished,915000
1010,1,1,1,0,57,2,Nepal,Lalitpur,rural,yes,unfurnished,35300
784,1,1,4,3,17,4,Pakistan,Peshawar,urban,yes,unfurnished,53800
2246,3,3,2,1,33,4,Mexico,Puebla,urban,yes,semi-furnished,178100
1572,3,2,4,1,14,4,Bangladesh,Mymensingh,prime,yes,semi-furnished,83400
1136,3,3,1,3,26,3,Malaysia,Johor Bahru,urban,no,furnished,172800
1737,5,4,2,2,10,4,Malaysia,Kota Kinabalu,rural,yes,semi-furnished,178500
2533,5,4,4,3,39,4,Ireland,Limerick,suburban,no,semi-furnished,434600
350,1,1,2,3,6,1,Canada,Toronto,urban,no,unfurnished,389900
827,2,1,4,0,33,3,Germany,Cologne,prime,yes,unfurnished,349800
1200,3,3,4,0,39,4,Pakistan,Peshawar,urban,yes,semi-furnished,51500
2750,3,3,3,1,41,1,Australia,Melbourne,urban,yes,unfurnished,1008200
1984,3,2,1,0,8,3,Mexico,Cancun,urban,yes,furnished,284700
2299,4,3,4,1,22,3,Poland,Wroclaw,urban,no,semi-furnished,388900
1059,1,1,2,2,24,3,USA,Dallas,prime,no,semi-furnished,513700
1072,5,4,3,3,58,1,Australia,Sydney,rural,no,semi-furnished,403500
2091,2,2,3,0,15,4,Mexico,Merida,suburban,yes,semi-furnished,170900
1838,2,2,2,3,56,3,Japan,Kobe,rural,no,unfurnished,278700
2157,2,2,1,0,14,3,Spain,Malaga,urban,yes,furnished,480500
1678,4,4,3,0,48,3,Colombia,Cali,urban,yes,semi-furnished,163500
1981,4,3,3,3,45,3,Norway,Trondheim,urban,yes,furnished,577000
1903,4,3,1,1,2,3,Japan,Sapporo,urban,yes,furnished,857200
2306,3,3,1,1,36,1,UK,London,urban,yes,furnished,1131800
2325,2,1,1,0,15,1,Indonesia,Jakarta,rural,yes,semi-furnished,242300
747,4,4,2,2,2,4,France,Nantes,urban,no,furnished,427400
350,1,1,3,0,56,3,Australia,Gold Coast,urban,yes,furnished,181500
2451,2,2,3,2,45,4,UAE,Ajman,prime,no,semi-furnished,308900
2572,4,3,1,1,48,2,Germany,Berlin,prime,no,furnished,724700
1137,4,3,4,1,38,1,Australia,Sydney,urban,yes,semi-furnished,819500
591,2,2,4,2,15,3,Saudi Arabia,Khobar,suburban,yes,semi-furnished,185200
1864,2,1,1,0,37,4,New Zealand,Hamilton,suburban,yes,semi-furnished,252000
2405,2,2,1,3,34,4,Poland,Poznan,urban,no,unfurnished,192200
2968,5,4,4,2,39,3,Bangladesh,Cox's Bazar,suburban,yes,unfurnished,129000
2136,3,2,2,0,1,4,Canada,Winnipeg,prime,yes,semi-furnished,748300
1558,1,1,2,3,29,1,UAE,Dubai,prime,yes,unfurnished,620800
1219,1,1,2,1,49,3,Ireland,Galway,suburban,yes,furnished,269900
1807,1,1,4,3,25,3,Sri Lanka,Galle,urban,yes,semi-furnished,104700
1605,2,1,1,2,29,3,Argentina,Cordoba,suburban,yes,semi-furnished,142600
1140,2,1,4,3,54,3,Indonesia,Bandung,suburban,yes,furnished,93700
3132,3,3,1,1,29,1,Poland,Warsaw,rural,no,unfurnished,385000
2960,4,3,4,3,28,2,India,Chennai,urban,no,furnished,221000
2538,5,4,2,1,8,3,Colombia,Cali,suburban,yes,semi-furnished,252100
1201,3,3,4,2,26,2,USA,Denver,urban,yes,unfurnished,712800
2356,4,4,1,0,2,2,Morocco,Rabat,urban,yes,furnished,340000
2216,4,3,2,0,50,2,Poland,Krakow,suburban,yes,furnished,250400
2088,2,1,1,2,56,1,Poland,Warsaw,prime,yes,semi-furnished,388400
2612,4,3,3,0,31,3,USA,Nashville,suburban,yes,unfurnished,574800
2213,2,2,1,0,43,2,USA,Miami,suburban,yes,furnished,575500
2281,2,1,2,1,35,3,Australia,Gold Coast,rural,yes,furnished,371600
2214,5,4,3,2,15,4,India,Indore,prime,yes,unfurnished,156600
2022,5,4,2,2,12,1,Germany,Frankfurt,prime,no,semi-furnished,1303300
641,4,4,4,3,1,3,Mexico,Cancun,suburban,no,unfurnished,206400
1854,3,3,3,2,44,3,China,Chongqing,suburban,yes,semi-furnished,299000
1438,4,3,4,0,38,3,Australia,Gold Coast,suburban,no,semi-furnished,401800
968,4,3,3,2,11,2,Switzerland,Lausanne,prime,yes,semi-furnished,1067400
2893,1,1,2,2,52,3,France,Bordeaux,suburban,yes,furnished,342900
2924,2,1,2,3,3,4,India,Nagpur,suburban,no,semi-furnished,136600
2683,1,1,3,3,28,4,Turkey,Adana,urban,yes,furnished,227900
1966,3,2,4,2,1,1,Australia,Melbourne,urban,yes,furnished,1263000
2678,2,1,4,2,39,1,USA,Seattle,rural,yes,furnished,877100
1808,2,1,1,1,28,2,USA,Portland,suburban,no,semi-furnished,596200
1932,5,4,2,1,57,4,Japan,Sendai,urban,yes,unfurnished,334700
1089,2,2,3,3,37,2,Turkey,Ankara,prime,no,semi-furnished,230300
2058,5,4,4,0,29,4,Pakistan,Sialkot,suburban,yes,semi-furnished,81200
1839,3,3,2,3,25,2,Canada,Ottawa,urban,yes,unfurnished,672300
953,1,1,4,3,48,4,South Africa,Port Elizabeth,prime,yes,semi-furnished,106800
1767,1,1,4,2,49,4,Turkey,Adana,suburban,yes,semi-furnished,113500
1748,4,4,1,1,20,2,India,Noida,urban,yes,semi-furnished,181000
2968,5,4,2,2,56,3,South Africa,Durban,urban,yes,furnished,216200
2381,5,4,2,3,0,1,USA,Los Angeles,rural,yes,unfurnished,1283200
1807,1,1,4,2,50,3,France,Lille,suburban,yes,semi-furnished,251600
1962,5,4,4,3,51,2,Vietnam,Hanoi,urban,yes,furnished,172100
1829,2,1,1,2,22,1,Vietnam,Ho Chi Minh City,rural,yes,semi-furnished,178600
1668,3,2,1,3,56,3,Bangladesh,Khulna,urban,yes,furnished,66300
1096,1,1,2,1,29,3,Greece,Thessaloniki,urban,yes,unfurnished,183100
1702,2,1,1,3,3,1,Malaysia,Kuala Lumpur,prime,yes,furnished,501300
1315,2,1,3,0,20,3,China,Xi'an,suburban,no,semi-furnished,220200
987,5,4,2,3,38,4,Brazil,Fortaleza,suburban,no,furnished,116500
2132,2,2,2,2,29,2,South Korea,Suwon,urban,no,furnished,666100
2054,2,2,1,3,42,4,Bangladesh,Rangpur,urban,yes,unfurnished,74600
639,2,1,1,3,51,3,France,Bordeaux,urban,yes,unfurnished,167000
1720,2,2,1,1,51,1,South Korea,Seoul,prime,yes,furnished,671100
2447,3,3,1,2,38,2,USA,Chicago,urban,yes,semi-furnished,964200
2488,2,2,2,1,40,3,USA,Phoenix,rural,no,semi-furnished,404400
2467,2,1,1,3,11,2,UK,Edinburgh,suburban,no,furnished,802500
1825,3,3,4,0,49,4,Australia,Darwin,suburban,no,semi-furnished,348200
1251,4,4,2,0,34,3,Canada,Edmonton,rural,yes,unfurnished,317800
1096,1,1,1,1,44,3,Greece,Thessaloniki,rural,no,unfurnished,110800
2024,2,2,3,1,26,2,Israel,Jerusalem,suburban,yes,semi-furnished,567800
2047,3,3,4,1,22,3,Italy,Bologna,prime,yes,unfurnished,650200
2637,5,4,2,3,43,1,Philippines,Makati,prime,yes,semi-furnished,421800
2515,5,4,4,3,8,1,Turkey,Istanbul,suburban,yes,semi-furnished,679400
1714,5,4,2,0,13,3,Sweden,Uppsala,suburban,yes,unfurnished,503200
991,3,3,2,3,53,3,USA,Houston,suburban,yes,unfurnished,326300
1593,1,1,2,1,28,4,Portugal,Braga,urban,yes,furnished,223400
1941,5,4,4,1,57,1,South Korea,Seoul,prime,yes,furnished,914100
1669,4,3,3,3,31,4,Italy,Genoa,prime,yes,semi-furnished,441800
1424,5,4,3,3,1,4,India,Indore,urban,no,semi-furnished,123200
1964,5,4,2,1,39,4,Indonesia,Semarang,suburban,no,unfurnished,124200
1472,4,3,1,2,42,1,USA,Seattle,suburban,no,semi-furnished,711000
1392,3,3,4,3,49,3,Bangladesh,Sylhet,prime,yes,unfurnished,93800
2002,4,3,1,2,5,3,Nigeria,Port Harcourt,urban,yes,furnished,205200
1539,4,4,3,0,33,4,USA,Detroit,prime,yes,unfurnished,449700
1959,5,4,3,3,42,3,Peru,Arequipa,urban,yes,semi-furnished,183300
1978,2,1,3,1,3,1,Qatar,Doha,urban,yes,semi-furnished,926400
1059,3,3,4,3,12,2,Israel,Jerusalem,urban,no,semi-furnished,666500
1487,3,3,1,2,52,3,Bangladesh,Khulna,suburban,no,furnished,60400
2735,2,2,1,3,58,4,Kenya,Nakuru,prime,yes,furnished,119800
1045,3,2,2,3,12,3,Thailand,Chiang Mai,urban,yes,furnished,195700
424,5,4,3,2,44,4,India,Indore,urban,no,unfurnished,52300
590,1,1,1,1,36,1,Sri Lanka,Colombo,suburban,yes,semi-furnished,78200
1819,3,2,4,1,42,2,India,Noida,rural,yes,semi-furnished,94000
1820,4,3,3,0,38,2,India,Hyderabad,urban,yes,unfurnished,157000
1724,5,4,4,1,13,1,Spain,Madrid,rural,yes,semi-furnished,715700
2589,2,1,2,0,0,1,Philippines,Manila,suburban,no,unfurnished,371800
350,2,1,4,2,14,1,USA,New York,suburban,yes,semi-furnished,654600
2057,1,1,2,2,19,4,Sri Lanka,Jaffna,urban,no,semi-furnished,82700
2815,2,1,1,3,33,1,Indonesia,Jakarta,urban,yes,furnished,379600
1067,5,4,4,0,24,3,Italy,Bologna,suburban,no,furnished,385800
1553,4,4,1,2,9,2,Netherlands,The Hague,urban,yes,unfurnished,842400
1311,3,3,3,0,59,1,New Zealand,Auckland,suburban,yes,semi-furnished,363600
1219,4,3,1,3,19,2,India,Kolkata,suburban,no,semi-furnished,148200
1588,5,4,3,3,27,1,UK,Oxford,suburban,no,furnished,973700
2728,3,2,2,1,54,1,Nigeria,Lagos,urban,yes,semi-furnished,226900
2994,2,1,1,3,38,4,Russia,Yekaterinburg,prime,yes,unfurnished,276300
1582,5,4,4,1,27,3,Spain,Malaga,prime,no,semi-furnished,492600
3038,5,4,2,2,7,2,Australia,Canberra,suburban,yes,furnished,1093300
1823,3,3,3,2,20,1,Morocco,Casablanca,suburban,yes,furnished,289400
2940,1,1,1,2,58,3,Spain,Seville,urban,yes,semi-furnished,343000
1739,1,1,4,3,51,1,Netherlands,Amsterdam,prime,yes,semi-furnished,722300
1885,1,1,3,0,22,3,Morocco,Tangier,urban,no,furnished,157100
2038,4,3,2,2,40,3,Chile,Valparaiso,suburban,yes,unfurnished,198700
3866,1,1,4,3,14,4,Italy,Genoa,urban,yes,semi-furnished,588300
2353,1,1,2,0,27,2,Morocco,Rabat,urban,yes,furnished,180400
1340,4,3,2,1,33,3,India,Jaipur,urban,no,furnished,97600
2430,3,3,2,3,46,3,France,Marseille,suburban,no,semi-furnished,392500
1565,3,2,3,1,23,4,Mexico,Merida,suburban,no,furnished,122000
1482,1,1,2,0,12,1,UAE,Abu Dhabi,rural,yes,semi-furnished,291900
2391,2,2,3,1,15,2,Colombia,Medellin,rural,yes,semi-furnished,213300
1820,2,2,4,2,6,4,Philippines,Davao,urban,no,semi-furnished,161400
1981,4,3,3,0,22,3,Canada,Calgary,suburban,yes,unfurnished,464400
1809,5,4,3,1,17,4,Qatar,Al Wakrah,suburban,yes,furnished,329900
2019,5,4,3,2,59,2,Canada,Montreal,urban,no,furnished,525100
2076,1,1,4,3,18,3,Thailand,Chiang Mai,suburban,yes,semi-furnished,209400
541,4,3,3,2,39,4,UAE,Al Ain,suburban,yes,furnished,169500
2233,4,3,4,0,54,4,Kenya,Nakuru,rural,yes,semi-furnished,74900
1162,1,1,3,3,7,3,Canada,Quebec City,urban,no,furnished,455400
863,4,4,1,2,58,3,Italy,Turin,prime,no,unfurnished,260800
1762,3,2,4,3,35,4,Pakistan,Faisalabad,urban,yes,unfurnished,64600
1855,1,1,1,1,3,2,Switzerland,Basel,suburban,yes,unfurnished,901100
1349,4,3,3,0,0,1,UK,London,suburban,yes,semi-furnished,985100
2340,5,4,3,1,53,3,India,Jaipur,suburban,no,semi-furnished,95900
928,3,3,3,1,27,4,Malaysia,Ipoh,suburban,no,unfurnished,100900
1535,2,2,2,1,49,1,Egypt,Cairo,urban,no,semi-furnished,144100
1420,3,3,2,3,13,2,USA,Portland,suburban,yes,unfurnished,740300
1770,3,3,1,1,11,4,India,Indore,urban,no,semi-furnished,109400
1981,5,4,1,1,51,1,Canada,Toronto,suburban,yes,unfurnished,648600
1145,4,3,1,3,28,1,Italy,Milan,prime,no,furnished,803400
2271,4,3,4,3,5,1,Chile,Santiago,urban,yes,semi-furnished,599500
1841,4,3,4,2,29,4,Colombia,Barranquilla,suburban,yes,unfurnished,130200
570,4,4,1,0,17,1,USA,San Francisco,rural,yes,semi-furnished,710600
527,2,1,4,3,12,4,Pakistan,Faisalabad,urban,yes,unfurnished,52600
1792,1,1,3,0,40,2,Japan,Osaka,suburban,yes,furnished,430700
1656,5,4,2,3,22,1,Argentina,Buenos Aires,rural,yes,unfurnished,298900
1733,3,2,1,2,17,3,Indonesia,Bandung,urban,yes,furnished,184600
1782,5,4,3,1,9,2,USA,Chicago,rural,yes,furnished,966500
1947,4,4,1,0,49,3,Italy,Naples,suburban,yes,furnished,294500
2416,3,3,1,0,33,4,Italy,Palermo,urban,yes,unfurnished,318600
1078,4,4,1,0,54,4,Poland,Poznan,urban,yes,unfurnished,106100
1038,4,3,1,1,20,3,UAE,Sharjah,suburban,yes,furnished,303400
1089,5,4,1,1,0,3,France,Bordeaux,urban,yes,furnished,616300
1988,2,2,2,1,27,2,USA,Portland,suburban,yes,semi-furnished,810300
2609,2,1,4,2,20,3,Canada,Calgary,urban,yes,unfurnished,657000
1520,2,2,2,0,29,4,Kenya,Nakuru,urban,no,unfurnished,99600
350,1,1,1,2,29,2,Japan,Osaka,suburban,yes,furnished,347600
692,3,2,4,0,31,3,China,Chengdu,urban,yes,unfurnished,228700
1259,3,3,2,1,47,4,Peru,Trujillo,suburban,no,furnished,80600
1437,1,1,1,0,11,2,Bangladesh,Chittagong,rural,yes,semi-furnished,72600
1535,5,4,3,3,58,1,Brazil,Sao Paulo,rural,yes,semi-furnished,216800
1825,4,3,3,1,0,2,Bangladesh,Chittagong,urban,yes,unfurnished,183000
1597,2,2,2,1,31,4,France,Nantes,suburban,no,unfurnished,285200
2482,1,1,4,0,34,2,New Zealand,Wellington,urban,yes,furnished,676000
1361,4,3,3,0,46,2,Netherlands,Rotterdam,suburban,no,semi-furnished,461100
1239,1,1,1,1,18,3,Spain,Malaga,suburban,no,unfurnished,193600
2111,1,1,2,0,42,2,Norway,Bergen,urban,yes,unfurnished,571300
802,3,3,3,1,3,3,Germany,Dusseldorf,prime,yes,furnished,532400
2053,5,4,3,0,26,4,Bangladesh,Comilla,urban,yes,furnished,99400
1867,1,1,2,0,22,2,Japan,Osaka,urban,no,furnished,664000
1704,3,2,2,0,57,4,Greece,Patras,prime,yes,semi-furnished,175400
2832,3,2,1,0,59,4,Vietnam,Hai Phong,urban,no,furnished,99100
1396,2,2,3,3,53,4,Qatar,Al Wakrah,prime,yes,semi-furnished,248100
3139,3,3,1,3,37,2,Switzerland,Bern,rural,yes,furnished,841500
1653,4,3,2,2,2,1,India,Bangalore,suburban,no,semi-furnished,218200
970,1,1,4,3,43,1,China,Shanghai,suburban,yes,furnished,294300
1845,5,4,4,1,12,2,Switzerland,Basel,prime,no,furnished,1608800
1100,2,2,2,1,50,2,Germany,Stuttgart,prime,yes,semi-furnished,434500
1311,2,1,1,1,22,1,Greece,Athens,urban,yes,unfurnished,351400
2058,1,1,1,1,40,4,Bangladesh,Barisal,prime,yes,furnished,80700
2161,3,2,4,0,33,2,Norway,Bergen,prime,yes,furnished,993300
1396,3,3,2,1,26,3,USA,Charlotte,urban,no,semi-furnished,517600
2442,1,1,1,1,38,4,Australia,Darwin,rural,yes,unfurnished,252500
2552,2,2,4,1,52,3,Japan,Fukuoka,rural,yes,semi-furnished,326400
2734,4,3,2,1,43,3,Mexico,Cancun,suburban,no,unfurnished,190600
2144,4,3,3,0,18,4,Australia,Hobart,urban,yes,furnished,549000
2686,2,1,1,1,10,3,UAE,Sharjah,urban,no,semi-furnished,531000
577,4,4,4,1,15,1,Australia,Melbourne,rural,yes,semi-furnished,710100
1593,4,4,2,0,31,3,Spain,Bilbao,urban,yes,semi-furnished,336000
1236,2,1,4,1,15,1,Pakistan,Karachi,urban,yes,furnished,140900
1877,1,1,2,1,47,3,USA,Nashville,suburban,yes,unfurnished,393800
1429,1,1,1,1,20,3,France,Lille,suburban,no,furnished,370000
1692,5,4,2,3,11,3,India,Surat,prime,yes,semi-furnished,190200
3023,2,2,1,3,46,2,Indonesia,Bali,urban,no,semi-furnished,219000
1690,5,4,3,2,44,4,Germany,Dresden,urban,no,semi-furnished,318300
2069,2,1,2,1,6,3,Spain,Seville,prime,no,semi-furnished,641900
1649,4,4,1,3,31,2,France,Lyon,suburban,no,semi-furnished,548200
1849,2,1,2,0,31,3,Portugal,Faro,suburban,no,semi-furnished,254100
1804,4,4,3,0,22,2,USA,Austin,suburban,yes,semi-furnished,868500
2091,5,4,3,3,36,1,Canada,Toronto,urban,yes,semi-furnished,925700
2557,4,3,1,3,31,3,Germany,Cologne,rural,no,semi-furnished,400000
2871,1,1,3,0,55,1,Poland,Warsaw,rural,yes,semi-furnished,225200
2001,3,3,2,1,7,3,Argentina,Cordoba,urban,yes,unfurnished,240600
2183,2,1,2,0,23,3,China,Xi'an,urban,no,semi-furnished,371800
1052,2,1,4,3,24,2,Israel,Jerusalem,urban,yes,unfurnished,523200
1743,5,4,4,1,28,3,Italy,Turin,urban,yes,unfurnished,493800
2411,5,4,1,3,43,1,Thailand,Bangkok,suburban,yes,furnished,324000
2363,5,4,2,3,41,4,Kenya,Kisumu,prime,yes,unfurnished,163400
1938,5,4,2,0,56,1,Spain,Madrid,rural,no,semi-furnished,425500
2376,3,3,3,3,9,3,Bangladesh,Narayanganj,urban,yes,furnished,157800
2119,3,2,3,3,15,4,Sri Lanka,Jaffna,rural,yes,unfurnished,82800
2580,3,2,2,2,24,1,India,Bangalore,suburban,yes,semi-furnished,204800
1988,4,4,3,3,43,2,Thailand,Phuket,urban,yes,unfurnished,257600
1569,1,1,3,3,1,4,Malaysia,Ipoh,urban,yes,unfurnished,184500
2018,5,4,4,2,13,1,Nepal,Kathmandu,suburban,yes,semi-furnished,172900
350,5,4,4,2,0,2,Canada,Montreal,urban,no,unfurnished,671600
2049,5,4,2,3,3,2,Vietnam,Hanoi,suburban,yes,furnished,291800
350,3,2,1,0,25,4,New Zealand,Hamilton,rural,yes,furnished,220100
680,3,3,4,1,15,4,India,Indore,urban,yes,furnished,95000
2094,3,3,2,2,48,3,China,Tianjin,suburban,yes,semi-furnished,273600
2110,4,4,4,0,6,3,Poland,Gdansk,suburban,yes,unfurnished,304900
1044,2,2,3,2,23,4,Indonesia,Semarang,rural,yes,semi-furnished,86500
1337,4,4,3,2,4,1,Chile,Santiago,urban,yes,unfurnished,423100
2691,3,3,4,0,33,3,Colombia,Cartagena,rural,yes,furnished,159800
1485,2,1,4,3,38,3,Saudi Arabia,Medina,urban,yes,furnished,219800
3258,4,4,3,1,28,3,Poland,Gdansk,suburban,yes,semi-furnished,328600
1799,2,2,3,0,6,4,UK,Belfast,suburban,yes,semi-furnished,413100
2065,1,1,1,0,25,1,Philippines,Manila,urban,no,furnished,337100
2851,3,3,1,1,51,2,India,Kolkata,urban,yes,semi-furnished,166000
1885,3,2,3,1,36,1,USA,Seattle,rural,yes,unfurnished,657500
1148,2,1,2,1,34,4,Vietnam,Hai Phong,suburban,yes,unfurnished,61700
1729,1,1,3,2,56,3,China,Tianjin,suburban,no,furnished,184600
1777,3,2,3,2,12,3,Sri Lanka,Kandy,suburban,yes,semi-furnished,115400
913,4,3,1,2,33,2,USA,Miami,urban,yes,semi-furnished,702700
1634,5,4,1,1,18,3,Israel,Haifa,urban,yes,semi-furnished,613600
1318,2,1,3,1,50,4,Pakistan,Multan,urban,no,semi-furnished,41100
2401,3,3,4,2,46,4,Spain,Zaragoza,suburban,yes,semi-furnished,238300
1822,5,4,3,0,20,4,Portugal,Braga,urban,yes,semi-furnished,331000
1616,2,1,3,3,50,4,Brazil,Salvador,urban,no,furnished,126700
1731,3,3,2,1,16,1,Germany,Munich,urban,yes,furnished,916200
1945,4,4,1,2,26,3,Japan,Nagoya,urban,yes,furnished,593600
2201,3,2,1,0,4,1,UK,Oxford,urban,yes,furnished,1344000
1150,5,4,4,0,26,3,USA,Dallas,suburban,yes,unfurnished,574400
1123,2,1,4,0,35,1,Spain,Barcelona,suburban,no,semi-furnished,379400
2518,3,2,2,1,39,1,Indonesia,Jakarta,suburban,yes,furnished,316800
1532,3,3,1,2,44,2,New Zealand,Wellington,suburban,yes,unfurnished,379000
879,4,4,4,3,44,1,Peru,Lima,suburban,yes,semi-furnished,209500
2088,2,1,2,2,37,3,Italy,Bologna,prime,yes,semi-furnished,465000
2101,2,1,1,1,23,4,Mexico,Merida,suburban,yes,semi-furnished,137900
805,2,2,3,2,51,1,China,Beijing,rural,yes,furnished,290700
1949,2,2,1,0,18,4,USA,Cleveland,rural,no,unfurnished,298800
2278,1,1,1,0,12,2,Japan,Yokohama,prime,yes,unfurnished,1034000
2043,5,4,3,3,16,3,Brazil,Belo Horizonte,urban,yes,unfurnished,281900
2211,2,2,1,3,39,2,Malaysia,Penang,urban,yes,semi-furnished,275000
887,2,2,4,3,38,1,Spain,Madrid,urban,yes,unfurnished,438800
2015,5,4,4,3,29,3,USA,Houston,suburban,yes,semi-furnished,591800
1603,4,4,4,2,54,4,Bangladesh,Mymensingh,urban,yes,furnished,75000
1486,2,2,3,3,18,1,Japan,Tokyo,suburban,yes,semi-furnished,782100
2366,2,1,3,0,7,3,South Korea,Incheon,suburban,yes,semi-furnished,518800
2762,5,4,2,0,29,3,Japan,Kobe,urban,yes,unfurnished,675400
2966,2,2,1,3,17,1,Mexico,Mexico City,urban,yes,unfurnished,477000
2655,5,4,1,0,43,3,Australia,Gold Coast,prime,no,semi-furnished,789700
1729,4,3,1,1,30,2,UK,Edinburgh,urban,yes,semi-furnished,675300
2029,4,3,1,1,53,1,Canada,Toronto,urban,yes,unfurnished,690500
2298,3,3,3,2,45,4,South Korea,Daejeon,prime,no,unfurnished,434400
1879,1,1,3,1,36,3,Israel,Haifa,urban,yes,semi-furnished,450200
1885,5,4,3,3,25,3,China,Chengdu,suburban,yes,furnished,355300
2335,3,2,2,1,39,2,Netherlands,Rotterdam,urban,no,semi-furnished,721600
1761,1,1,1,3,21,4,Indonesia,Medan,prime,yes,unfurnished,182000
1326,5,4,1,2,56,2,France,Lyon,rural,yes,unfurnished,350400
1531,2,1,4,0,35,1,Russia,Moscow,urban,yes,semi-furnished,382500
2212,2,1,4,3,44,1,Sweden,Stockholm,urban,yes,furnished,856000
1802,4,3,1,0,12,4,UK,Belfast,prime,no,furnished,718700
2021,2,2,3,2,13,3,Morocco,Tangier,suburban,yes,unfurnished,177700
2236,1,1,4,2,28,3,Egypt,Sharm El Sheikh,suburban,yes,semi-furnished,116900
1556,2,2,4,0,46,1,Mexico,Mexico City,urban,yes,unfurnished,237300
2292,4,3,1,3,54,3,Bangladesh,Narayanganj,urban,yes,furnished,93100
2046,3,2,3,0,7,2,Italy,Venice,rural,yes,semi-furnished,498300
997,4,3,4,1,5,1,New Zealand,Auckland,suburban,yes,unfurnished,752300
2737,1,1,4,0,8,4,Nepal,Biratnagar,suburban,yes,semi-furnished,82400
1475,2,1,3,0,5,3,Spain,Malaga,urban,no,unfurnished,369800
724,2,1,2,0,57,1,India,Gurgaon,urban,no,furnished,68900
1121,1,1,3,0,8,2,USA,Chicago,prime,yes,unfurnished,690900
1136,4,4,1,0,6,1,Germany,Munich,urban,no,unfurnished,801900
1834,2,2,1,2,18,3,Malaysia,Johor Bahru,urban,no,furnished,219500
1622,3,3,1,0,49,2,India,Noida,urban,yes,semi-furnished,101500
1581,5,4,3,2,54,4,Pakistan,Peshawar,urban,no,semi-furnished,54900
2203,2,1,1,1,40,4,Australia,Hobart,suburban,yes,semi-furnished,316200
2021,1,1,1,0,35,1,Colombia,Bogota,suburban,yes,furnished,215400
2005,5,4,4,0,45,3,Germany,Dusseldorf,rural,yes,furnished,390700
2066,2,1,2,3,5,1,Morocco,Casablanca,prime,yes,furnished,442700
2200,2,2,3,3,33,2,China,Hangzhou,urban,yes,furnished,506400
430,4,3,2,2,3,3,India,Jaipur,urban,yes,semi-furnished,90700
1563,1,1,1,2,45,2,South Korea,Suwon,urban,yes,unfurnished,358200
383,2,2,3,0,29,4,UK,Sheffield,prime,yes,furnished,264300
1823,1,1,1,3,57,4,South Korea,Daejeon,urban,yes,semi-furnished,208100
1797,5,4,3,1,36,1,Australia,Sydney,urban,yes,semi-furnished,826100
2480,2,2,3,2,44,4,Germany,Leipzig,urban,yes,semi-furnished,335300
2572,3,3,3,3,3,1,Singapore,Singapore,prime,yes,semi-furnished,2858200
1932,3,2,2,1,19,4,UK,Sheffield,urban,yes,semi-furnished,526600
1475,3,2,2,1,27,2,New Zealand,Wellington,rural,yes,furnished,435200
2115,1,1,4,1,53,3,Sweden,Uppsala,suburban,yes,unfurnished,281700
1457,2,1,2,3,40,1,Pakistan,Islamabad,suburban,no,semi-furnished,87400
1799,5,4,4,2,28,4,Turkey,Bursa,urban,yes,semi-furnished,243500
2441,3,3,3,2,38,1,Nigeria,Lagos,urban,yes,semi-furnished,312300
1437,5,4,4,1,9,2,Russia,Saint Petersburg,urban,no,semi-furnished,450200
2324,3,3,3,1,41,3,Sweden,Malmo,suburban,yes,furnished,376800
2240,2,1,1,2,54,2,Israel,Jerusalem,urban,yes,semi-furnished,558900
1179,2,2,2,0,20,1,South Africa,Cape Town,suburban,yes,semi-furnished,272300
2433,4,4,3,0,24,4,Vietnam,Hai Phong,urban,yes,unfurnished,156300
2254,2,2,3,2,57,2,Japan,Yokohama,urban,yes,furnished,594100
1866,3,3,3,3,14,1,India,Delhi,suburban,yes,semi-furnished,237200
1304,5,4,4,1,40,4,USA,Memphis,urban,no,semi-furnished,460200
1242,5,4,4,1,38,3,Mexico,Cancun,suburban,yes,semi-furnished,176500
1451,2,1,1,2,12,1,India,Mumbai,suburban,yes,unfurnished,152100
2153,2,1,1,0,59,3,Germany,Cologne,suburban,no,unfurnished,214700
1179,4,4,1,0,57,3,Malaysia,Johor Bahru,urban,no,furnished,123400
2084,4,4,3,2,50,2,Japan,Kyoto,rural,no,unfurnished,521800
993,4,3,2,1,39,4,Egypt,Aswan,suburban,yes,semi-furnished,70400
1667,1,1,3,0,15,4,Ireland,Limerick,suburban,no,unfurnished,317800
1871,3,3,4,2,0,1,Russia,Moscow,suburban,yes,furnished,505600
3389,1,1,2,3,42,1,UAE,Abu Dhabi,prime,no,unfurnished,822100
905,5,4,3,1,41,4,Russia,Novosibirsk,prime,yes,furnished,197100
2757,5,4,2,2,15,2,South Korea,Busan,suburban,yes,furnished,805300
1897,4,4,4,2,7,3,UK,Liverpool,urban,yes,furnished,798600
2067,2,2,1,2,30,4,Greece,Patras,suburban,no,unfurnished,182500
1877,4,4,3,1,59,2,Japan,Osaka,suburban,yes,semi-furnished,467100
2089,3,2,4,0,8,2,France,Nice,suburban,yes,semi-furnished,759800
